perm 132
classes
65535
61439
65279
61183
65519
61423
65263
61167
65527
61431
65271
61175
65511
61415
65255
61159
65531
61435
65275
61179
65515
61419
65259
61163
65523
61427
65267
61171
65507
61411
65251
61155
65533
65517
61437
61421
65277
65261
61181
61165
65525
65509
61429
61413
65269
65253
61173
61157
65529
65513
61433
61417
65273
65257
61177
61161
65521
65505
61425
61409
65265
65249
61169
61153
57343
57335
57339
57331
53247
53239
53243
53235
57087
57079
57083
57075
52991
52983
52987
52979
57327
57319
57323
57315
53231
53223
53227
53219
57071
57063
57067
57059
52975
52967
52971
52963
57341
57325
53245
53229
57085
57069
52989
52973
57333
57317
53237
53221
57077
57061
52981
52965
57337
57321
53241
53225
57081
57065
52985
52969
57329
57313
53233
53217
57073
57057
52977
52961
64511
64503
64507
64499
60415
60407
60411
60403
64255
64247
64251
64243
60159
60151
60155
60147
64495
64487
64491
64483
60399
60391
60395
60387
64239
64231
64235
64227
60143
60135
60139
60131
64509
64493
60413
60397
64253
64237
60157
60141
64501
64485
60405
60389
64245
64229
60149
60133
64505
64489
60409
60393
64249
64233
60153
60137
64497
64481
60401
60385
64241
64225
60145
60129
56319
56311
56315
56307
52223
52215
52219
52211
56063
56055
56059
56051
51967
51959
51963
51955
56303
56295
56299
56291
52207
52199
52203
52195
56047
56039
56043
56035
51951
51943
51947
51939
56317
56301
52221
52205
56061
56045
51965
51949
56309
56293
52213
52197
56053
56037
51957
51941
56313
56297
52217
52201
56057
56041
51961
51945
56305
56289
52209
52193
56049
56033
51953
51937
65023
65015
65019
65011
60927
60919
60923
60915
64767
64759
64763
64755
60671
60663
60667
60659
65007
64999
65003
64995
60911
60903
60907
60899
64751
64743
64747
64739
60655
60647
60651
60643
65021
65005
60925
60909
64765
64749
60669
60653
65013
64997
60917
60901
64757
64741
60661
60645
65017
65001
60921
60905
64761
64745
60665
60649
65009
64993
60913
60897
64753
64737
60657
60641
49151
49143
49147
49139
45055
45047
45051
45043
48895
48887
48891
48883
44799
44791
44795
44787
49135
49127
49131
49123
45039
45031
45035
45027
48879
48871
48875
48867
44783
44775
44779
44771
49149
49133
45053
45037
48893
48877
44797
44781
49141
49125
45045
45029
48885
48869
44789
44773
49145
49129
45049
45033
48889
48873
44793
44777
49137
49121
45041
45025
48881
48865
44785
44769
48639
48631
48635
48627
44543
44535
44539
44531
48383
48375
48379
48371
44287
44279
44283
44275
48623
48615
48619
48611
44527
44519
44523
44515
48367
48359
48363
48355
44271
44263
44267
44259
48637
48621
44541
44525
48381
48365
44285
44269
48629
48613
44533
44517
48373
48357
44277
44261
48633
48617
44537
44521
48377
48361
44281
44265
48625
48609
44529
44513
48369
48353
44273
44257
43519
43511
43515
43507
35327
35319
36347
36339
35323
35315
40443
40435
39419
39411
55803
55795
39423
39415
56827
56819
59903
59895
59899
59891
51707
51699
51711
51703
52731
52723
40703
40695
40699
40691
39679
39671
39675
39667
36091
36083
35067
35059
51451
51443
35071
35063
52475
52467
40187
40179
40191
40183
56571
56563
39163
39155
39167
39159
55547
55539
43503
43495
43499
43491
35311
35303
36331
36323
35307
35299
40427
40419
39403
39395
55787
55779
39407
39399
56811
56803
59887
59879
59883
59875
51691
51683
51695
51687
52715
52707
40687
40679
40683
40675
39663
39655
39659
39651
36075
36067
35051
35043
51435
51427
35055
35047
52459
52451
40171
40163
40175
40167
56555
56547
39151
39143
55531
55523
39147
39139
43513
43497
35321
35305
39417
39401
59897
59881
51705
51689
40697
40681
39673
39657
35065
35049
40185
40169
39161
39145
43505
43489
35313
35297
39409
39393
59889
59873
51697
51681
40689
40673
39665
39649
35057
35041
40177
40161
39153
39137
48125
48109
44029
44013
47869
47853
43773
43757
39933
39917
35837
35821
35581
35565
40701
40685
39677
39661
47357
47341
43261
43245
43517
43501
47613
47597
59901
59885
35325
35309
39421
39405
51709
51693
35069
35053
40189
40173
39165
39149
48117
48101
44021
44005
47861
47845
43765
43749
39925
39909
35829
35813
35573
35557
40693
40677
39669
39653
47349
47333
43253
43237
43509
43493
47605
47589
59893
59877
35317
35301
39413
39397
51701
51685
35061
35045
40181
40165
39157
39141
65407
65399
65403
65395
61311
61303
61307
61299
65151
65143
65147
65139
61055
61047
61051
61043
65391
65383
65387
65379
61295
61287
61291
61283
65135
65127
65131
65123
61039
61031
61035
61027
65405
61309
65149
61053
65389
61293
65133
61037
65397
65381
61301
61285
65141
65125
61045
61029
65401
61305
65145
61049
65385
61289
65129
61033
65393
65377
61297
61281
65137
65121
61041
61025
57215
57207
57211
57203
53119
53111
53115
53107
56959
56951
56955
56947
52863
52855
52859
52851
57199
57191
57195
57187
53103
53095
53099
53091
56943
56935
56939
56931
52847
52839
52843
52835
57213
53117
56957
52861
57197
53101
56941
52845
57205
57189
53109
53093
56949
56933
52853
52837
57209
53113
56953
52857
57193
53097
56937
52841
57201
57185
53105
53089
56945
56929
52849
52833
64383
64375
64379
64371
60287
60279
60283
60275
64127
64119
64123
64115
60031
60023
60027
60019
64367
64359
64363
64355
60271
60263
60267
60259
64111
64103
64107
64099
60015
60007
60011
60003
64381
60285
64125
60029
64365
60269
64109
60013
64373
64357
60277
60261
64117
64101
60021
60005
64377
60281
64121
60025
64361
60265
64105
60009
64369
64353
60273
60257
64113
64097
60017
60001
56191
56183
56187
56179
52095
52087
52091
52083
55935
55927
55931
55923
51839
51831
51835
51827
56175
56167
56171
56163
52079
52071
52075
52067
55919
55911
55915
55907
51823
51815
51819
51811
56189
52093
55933
51837
56173
52077
55917
51821
56181
56165
52085
52069
55925
55909
51829
51813
56185
52089
55929
51833
56169
52073
55913
51817
56177
56161
52081
52065
55921
55905
51825
51809
64895
64887
64891
64883
60799
60791
60795
60787
64639
64631
64635
64627
60543
60535
60539
60531
64879
64871
64875
64867
60783
60775
60779
60771
64623
64615
64619
64611
60527
60519
60523
60515
64893
60797
64637
60541
64877
60781
64621
60525
64885
64869
60789
60773
64629
64613
60533
60517
64889
60793
64633
60537
64873
60777
64617
60521
64881
64865
60785
60769
64625
64609
60529
60513
49023
49015
49019
49011
44927
44919
44923
44915
48767
48759
48763
48755
44671
44663
44667
44659
49007
48999
49003
48995
44911
44903
44907
44899
48751
48743
48747
48739
44655
44647
44651
44643
49021
44925
48765
44669
49005
44909
48749
44653
49013
48997
44917
44901
48757
48741
44661
44645
49017
44921
48761
44665
49001
44905
48745
44649
49009
48993
44913
44897
48753
48737
44657
44641
48511
48503
48507
48499
44415
44407
44411
44403
48255
48247
48251
48243
44159
44151
44155
44147
48495
48487
48491
48483
44399
44391
44395
44387
48239
48231
48235
48227
44143
44135
44139
44131
48509
44413
48253
44157
48493
44397
48237
44141
48501
48485
44405
44389
48245
48229
44149
44133
48505
44409
48249
44153
48489
44393
48233
44137
48497
48481
44401
44385
48241
48225
44145
44129
39295
39287
56699
56691
55675
55667
40315
40307
39291
39283
59775
59767
59771
59763
51583
51575
52603
52595
51579
51571
43391
43383
43387
43379
35199
35191
36219
36211
35195
35187
34943
34935
52347
52339
51323
51315
35963
35955
34939
34931
40575
40567
40571
40563
39551
39543
39547
39539
40063
40055
56443
56435
40059
40051
39039
39031
55419
55411
39035
39027
39279
39271
56683
56675
55659
55651
40299
40291
39275
39267
59759
59751
59755
59747
51567
51559
52587
52579
51563
51555
43375
43367
43371
43363
35183
35175
36203
36195
35179
35171
34927
34919
52331
52323
51307
51299
35947
35939
34923
34915
40559
40551
40555
40547
39535
39527
39531
39523
40047
40039
56427
56419
40043
40035
39023
39015
55403
55395
39019
39011
39289
59769
51577
43385
35193
34937
40569
39545
40057
39033
39273
59753
51561
43369
35177
34921
40553
39529
40041
39017
39281
39265
59761
59745
51569
51553
43377
43361
35185
35169
34929
34913
40561
40545
39537
39521
40049
40033
39025
39009
47997
43901
47741
43645
47981
43885
47725
43629
39805
35709
35453
40573
39549
39789
35693
35437
40557
39533
47229
43133
47485
59773
43389
47213
43117
47469
59757
43373
39293
51581
35197
34941
40061
39037
39277
51565
35181
34925
40045
39021
47989
47973
43893
43877
47733
47717
43637
43621
39797
39781
35701
35685
35445
35429
40565
40549
39541
39525
47221
47205
43125
43109
47477
47461
59765
59749
43381
43365
39285
39269
51573
51557
35189
35173
34933
34917
40053
40037
39029
39013
40383
40375
40379
40371
36287
36279
36283
36275
36031
36023
36027
36019
40639
40631
40635
40627
40127
40119
40123
40115
40367
40359
40363
40355
36271
36263
36267
36259
36015
36007
36011
36003
40623
40615
40619
40611
40111
40103
40107
40099
40377
40361
36281
36265
36025
36009
40633
40617
40121
40105
40369
40353
36273
36257
36017
36001
40625
40609
40113
40097
40893
36797
40637
36541
40877
36781
40621
36525
40381
36285
40125
36029
40365
36269
40109
36013
40885
36789
40629
36533
40869
36773
40613
36517
40373
36277
40117
36021
40357
36261
40101
36005
49087
49079
49083
49075
44991
44983
44987
44979
48831
48823
48827
48819
44735
44727
44731
44723
49071
49063
49067
49059
44975
44967
44971
44963
48815
48807
48811
48803
44719
44711
44715
44707
49085
44989
48829
44733
49069
44973
48813
44717
49077
44981
48821
44725
49061
44965
48805
44709
49081
49065
44985
44969
48825
48809
44729
44713
49073
49057
44977
44961
48817
48801
44721
44705
48575
48567
48571
48563
44479
44471
44475
44467
48319
48311
48315
48307
44223
44215
44219
44211
48559
48551
48555
48547
44463
44455
44459
44451
48303
48295
48299
48291
44207
44199
44203
44195
48573
44477
48317
44221
